createddate,approval_type,rate
2021-01-22,Approval,0.50552327
2021-01-22,Disapproval,0.38745197
2021-01-22,Approval,0.54659613
2021-01-22,Disapproval,0.34463042
2021-01-22,Approval,0.53737007
2021-01-22,Disapproval,0.33029437
2021-01-22,Approval,0.53492812
2021-01-22,Disapproval,0.32023597000000004
2021-01-22,Approval,0.50799336
2021-01-22,Disapproval,0.39421348
2021-01-22,Approval,0.5630453200000001
2021-01-22,Disapproval,0.32685021
2021-01-22,Approval,0.5360659799999999
2021-01-22,Disapproval,0.32669508
2021-01-25,Approval,0.50552327
2021-01-25,Disapproval,0.40745197
2021-01-25,Approval,0.58183597
2021-01-25,Disapproval,0.37429696999999995
2021-01-25,Approval,0.58370073
2021-01-25,Disapproval,0.38010219
2021-01-25,Approval,0.50799336
2021-01-25,Disapproval,0.41421348
2021-01-25,Approval,0.5360659799999999
2021-01-25,Disapproval,0.35669508
2021-01-26,Approval,0.50552327
2021-01-26,Disapproval,0.40745197
2021-01-26,Approval,0.50799336
2021-01-26,Disapproval,0.41421348
2021-01-27,Approval,0.54458244
2021-01-27,Disapproval,0.30012877
2021-01-27,Approval,0.57659613
2021-01-27,Disapproval,0.35463042
2021-01-27,Approval,0.52485593
2021-01-27,Disapproval,0.33587670000000003
2021-01-27,Approval,0.50552327
2021-01-27,Disapproval,0.41745196999999995
2021-01-27,Approval,0.54183987
2021-01-27,Disapproval,0.2931686
2021-01-27,Approval,0.52266469
2021-01-27,Disapproval,0.32489513999999997
2021-01-27,Approval,0.54744331
2021-01-27,Disapproval,0.30956081
2021-01-27,Approval,0.56606598
2021-01-27,Disapproval,0.33669508
2021-01-27,Approval,0.50799336
2021-01-27,Disapproval,0.42421348000000003
2021-01-27,Approval,0.53413204
2021-01-27,Disapproval,0.35128003999999996
2021-01-28,Approval,0.48659613
2021-01-28,Disapproval,0.31463042
2021-01-28,Approval,0.49659613
2021-01-28,Disapproval,0.31463042
2021-01-28,Approval,0.50659613
2021-01-28,Disapproval,0.32463042000000003
2021-01-28,Approval,0.56072331
2021-01-28,Disapproval,0.33505290000000004
2021-01-28,Approval,0.51659613
2021-01-28,Disapproval,0.32463042000000003
2021-01-28,Approval,0.51659613
2021-01-28,Disapproval,0.33463042000000004
2021-01-28,Approval,0.55771313
2021-01-28,Disapproval,0.35463879
2021-01-28,Approval,0.51659613
2021-01-28,Disapproval,0.33463042000000004
2021-01-28,Approval,0.51552327
2021-01-28,Disapproval,0.41745196999999995
2021-01-28,Approval,0.52659613
2021-01-28,Disapproval,0.34463042
2021-01-28,Approval,0.48553494999999997
2021-01-28,Disapproval,0.30131167000000003
2021-01-28,Approval,0.49553495
2021-01-28,Disapproval,0.30131167000000003
