complaint_id,date_received,district_occurrence,general_cap_classification,summary,officer_id,po_race,po_sex,po_assigned_unit,allegations_investigated,investigative_findings,disciplinary_findings
16-0002,2016-01-19,2400,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 1-2-16, they were harassed by officers assigned to the 24th District.",49788591,latino,male,9807 SUPP POLICE SERVICE,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0003,2016-01-19,1900,NON-INVESTIGATORY INCIDENT,"According to the complainant, on 12-29-15 at 6:45pm, they were improperly issued traffic citations by officers assigned to the 19th District.",16617433,black,male,1900 19TH DISTRICT,No C.A.P. Investigation,Not Applicable,Not Applicable
16-0004,2016-01-11,0700,VERBAL ABUSE,"According to the complainant, on 1-3-16 at 8:05pm,, they were verbally abused by an officer assigned to the Traffic Unit within the confines of the 7th district.",42698976,white,male,5200 TRAFFIC DISTRICT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0005,2016-01-11,7700,VERBAL ABUSE,"According to the complainant, on 12-24- they were verbally abused by an officer assigned to the Airport Unit.",10551607,black,female,7700 AIRPORT,Verbal Abuse,No Sustained Findings,Not Applicable
16-0006,2016-01-11,1500,LACK OF SERVICE,"According to the complainant, on 7-15-15 at 7:00pm, they did not receive proper service from officers assigned to the 15th District.",34517423,white,female,1500 15TH DISTRICT,Domestic,No Sustained Findings,Not Applicable
16-0007,2016-01-11,0900,UNPROFESSIONAL CONDUCT,"According to the complainant, on 12-19-15 at 6:30am, they were treated unprofessionally by an unidentified police dispatcher.",75233613,other,female,4921 RADIO ROOM,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",80038415,black,female,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",96659013,black,male,1900 19TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",80038415,black,female,1900 19TH DISTRICT,Lack of Service,Sustained Finding,Training/Counseling
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",96914445,black,female,1900 19TH DISTRICT,Lack of Service,No Sustained Findings,Not Applicable
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",50519525,other,female,4922 RADIO ROOM,Unprofessional Conduct,No Sustained Findings,Not Applicable
16-0008,2016-01-11,1900,LACK OF SERVICE,"According to the complainant, on 12-26-15 at 9:30am, they did not receive proper service from an unidentified 911 call taker, and officers assigned to the 19th District.",96659013,black,male,1900 19TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0009,2016-01-11,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-30-15 and 12-31-15 they were treated unprofessionally by officers assigned to the 12th District.",68604909,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0009,2016-01-11,1200,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-30-15 and 12-31-15 they were treated unprofessionally by officers assigned to the 12th District.",66221391,white,male,1200 12TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0010,2016-01-13,1500,LACK OF SERVICE,"According to the complainant, on 8-15-15 at 10:00pm, they did not receive proper service from two detectives assigned to Northeast Detective Division.",75370256,white,male,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0010,2016-01-13,1500,LACK OF SERVICE,"According to the complainant, on 8-15-15 at 10:00pm, they did not receive proper service from two detectives assigned to Northeast Detective Division.",94354974,latino,female,6400 NORTHEAST DET,Lack of Service,No Sustained Findings,Not Applicable
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",64290544,black,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",68399946,white,male,1800 18TH DISTRICT,Departmental Violation,Sustained Finding,Training/Counseling
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",68399946,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
16-0012,2016-01-13,1800,DEPARTMENTAL VIOLATIONS,"According to the complainant, on 12-26-15 at 6:20pm, officers assigned to the 18th District did not follow proper police procedure.",68399946,white,male,1800 18TH DISTRICT,Departmental Violation,No Sustained Findings,Not Applicable
